BCC1 
UTC,PMT5577DN,PD1DN,PD2DN,PMTS,TMP,SETTMP,TEPWR,TEDIR,PMT5577rad,PD1rad,rad_units,
2010-03-09 00:48:12,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 01:07:25,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 01:08:25,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 01:08:33,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:01:11,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:01:39,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:01:48,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:01:58,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:02:04,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:02:11,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:02:33,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:02:39,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:02:51,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:02:59,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:03:04,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:03:14,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:03:25,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:03:35,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:03:38,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:03:52,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:04:04,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:04:06,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:04:14,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:04:24,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:04:33,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:04:41,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:04:50,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:04:59,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:05:15,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:05:18,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:05:29,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:05:38,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:05:53,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:06:00,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:06:09,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:06:13,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:06:22,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:06:33,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:06:42,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:06:53,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:07:04,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:07:12,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:07:15,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:07:31,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:07:34,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:07:43,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:07:54,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:08:02,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:08:09,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:08:23,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:08:31,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:08:41,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:08:48,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:08:58,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:09:04,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:09:11,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:09:28,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:09:33,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:09:45,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:09:47,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:09:59,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:10:09,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:10:21,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:10:31,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:10:40,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:10:47,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:10:50,           4,           0,        1023,           1,        -272,       22.50,           0,           0,        1.27,           0,   uW/m^2*Sr,
2010-03-09 16:10:59,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:11:13,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:11:33,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:11:44,           4,           0,        1023,           1,        -272,       22.50,           0,           0,        1.27,           0,   uW/m^2*Sr,
2010-03-09 16:11:52,           4,           0,        1023,           1,        -272,       22.50,           0,           0,        1.27,           0,   uW/m^2*Sr,
2010-03-09 16:11:54,           4,           0,        1023,           1,        -272,       22.50,           0,           0,        1.27,           0,   uW/m^2*Sr,
2010-03-09 16:12:05,           4,           0,        1023,           1,        -272,       22.50,           0,           0,        1.27,           0,   uW/m^2*Sr,
2010-03-09 16:12:13,           4,           0,        1023,           1,        -272,       22.50,           0,           0,        1.27,           0,   uW/m^2*Sr,
2010-03-09 16:12:26,           4,           0,        1023,           1,        -272,       22.50,           0,           0,        1.27,           0,   uW/m^2*Sr,
2010-03-09 16:12:34,           4,           0,        1023,           1,        -272,       22.50,           0,           0,        1.27,           0,   uW/m^2*Sr,
2010-03-09 16:12:41,           4,           0,        1023,           1,        -272,       22.50,           0,           0,        1.27,           0,   uW/m^2*Sr,
2010-03-09 16:12:52,           4,           0,        1023,           1,        -272,       22.50,           0,           0,        1.27,           0,   uW/m^2*Sr,
2010-03-09 16:13:02,           4,           0,        1023,           1,        -272,       22.50,           0,           0,        1.27,           0,   uW/m^2*Sr,
2010-03-09 16:13:11,           4,           0,        1023,           1,        -272,       22.50,           0,           0,        1.27,           0,   uW/m^2*Sr,
2010-03-09 16:13:21,           4,           0,        1023,           1,        -272,       22.50,           0,           0,        1.27,           0,   uW/m^2*Sr,
2010-03-09 16:13:26,           4,           0,        1023,           1,        -272,       22.50,           0,           0,        1.27,           0,   uW/m^2*Sr,
2010-03-09 16:13:40,           4,           0,        1023,           1,        -272,       22.50,           0,           0,        1.27,           0,   uW/m^2*Sr,
2010-03-09 16:13:42,           4,           0,        1023,           1,        -272,       22.50,           0,           0,        1.27,           0,   uW/m^2*Sr,
2010-03-09 16:13:51,           4,           0,        1023,           1,        -272,       22.50,           0,           0,        1.27,           0,   uW/m^2*Sr,
2010-03-09 16:14:00,           4,           0,        1023,           1,        -272,       22.50,           0,           0,        1.27,           0,   uW/m^2*Sr,
2010-03-09 16:14:09,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:14:20,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:14:31,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:14:41,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
2010-03-09 16:14:48,           8,           0,        1023,           1,        -272,       22.50,           0,           0,        3.80,           0,   uW/m^2*Sr,
