BZN2 
UTC,PMT5577DN,PD1DN,PD2DN,PMTS,TMP,SETTMP,TEPWR,TEDIR,PMT5577rad,PD1rad,rad_units,
2010-05-22 00:03:25,          90,           0,           0,           1,      226.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-05-22 00:03:31,          91,           0,           0,           1,      226.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-05-22 00:03:34,          90,           0,           0,           1,      226.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-05-22 00:03:40,          90,           0,           0,           1,      226.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-05-22 00:03:46,          90,           0,           0,           1,      226.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-05-22 00:03:52,          91,           0,           0,           1,      226.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-05-22 00:03:58,          90,           0,           0,           1,      226.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-05-22 00:04:01,          90,           0,           0,           1,      226.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-05-22 00:04:07,          90,           0,           0,           1,      226.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-05-22 00:04:27,          91,           0,           0,           1,      226.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-05-22 00:04:33,          91,           0,           0,           1,      226.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-05-22 00:04:39,          91,           0,           0,           1,      226.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-05-22 00:04:51,          90,           0,           0,           1,      226.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-05-22 00:04:57,          91,           0,           0,           1,      226.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-05-22 00:05:00,          90,           0,           0,           1,      226.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-05-22 00:05:06,          91,           0,           0,           1,      226.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-05-22 00:05:15,          90,           0,           0,           1,      226.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-05-22 00:05:21,          91,           0,           0,           1,      226.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-05-22 00:05:27,          91,           0,           0,           1,      226.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-05-22 00:05:33,          91,           0,           0,           1,      226.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-05-22 00:05:39,          90,           0,           0,           1,      226.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-05-22 00:05:45,          90,           0,           0,           1,      226.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-05-22 00:05:51,          90,           0,           0,           1,      226.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-05-22 00:05:57,          91,           0,           0,           1,      226.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-05-22 00:06:03,          91,           0,           0,           1,      226.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-05-22 00:06:15,          91,           0,           0,           1,      226.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-05-22 00:06:21,          90,           0,           0,           1,      226.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-05-22 00:06:27,          90,           0,           0,           1,      226.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
