BZN2 
UTC,PMT5577DN,PD1DN,PMTGV,PMTS,TMP,SETTMP,TEPWR,TEDIR,PMT5577rad,PD1rad,rad_units,
2010-06-08 14:55:46,        1023,           0,           0,           1,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 14:56:36,        1023,           0,           0,           1,       25.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 14:57:51,        1023,           0,           0,           1,       25.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:00:01,        1023,           0,           0,           1,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:00:06,        1023,           0,           0,           1,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:02:11,        1023,           0,           0,           1,       25.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:04:21,        1023,           0,           0,           1,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:04:26,        1023,           0,           0,           1,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:04:31,        1023,           0,           0,           1,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:06:31,        1023,           0,           0,           1,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:06:36,        1023,           0,           0,           1,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:08:36,        1023,           0,           0,           1,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:08:41,        1023,           0,           0,           1,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:08:46,        1023,           0,           0,           1,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:10:46,        1023,           0,           0,           1,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:10:51,        1023,           0,           0,           1,       25.10,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:10:56,        1023,           0,           0,           1,       25.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:12:56,        1023,           0,           0,           1,       25.10,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:13:01,        1023,           0,           0,           1,       25.10,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:13:06,        1023,           0,           0,           1,       25.10,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:15:06,        1023,           0,           0,           1,       25.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:15:16,        1023,           0,           0,           1,       25.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:17:16,        1023,           0,           0,           1,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:17:21,        1023,           0,           0,           1,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:17:26,        1023,           0,           0,           1,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:19:26,        1023,           0,           0,           1,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:19:31,        1023,           0,           0,           1,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:19:36,        1023,           0,           0,           1,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:21:36,        1023,           0,           0,           1,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:21:41,        1023,           0,           0,           1,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:21:46,        1023,           0,           0,           1,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:23:46,        1023,           0,           0,           1,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:23:51,        1023,           0,           0,           1,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:23:56,        1023,           0,           0,           1,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:25:56,        1023,           0,           0,           1,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:26:06,        1023,           0,           0,           1,       25.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:28:06,        1023,           0,           0,           1,       25.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:28:16,        1023,           0,           0,           1,       25.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:30:16,        1023,           0,           0,           1,       25.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:30:21,        1023,           0,           0,           1,       25.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:30:26,        1023,           0,           0,           1,       25.50,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:32:26,        1023,           0,           0,           1,       25.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:32:31,        1023,           0,           0,           1,       25.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:32:36,        1023,           0,           0,           1,       25.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:34:36,        1023,           0,           0,           1,       25.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:34:46,        1023,           0,           0,           1,       25.50,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:36:56,        1023,           0,        0.00,           1,       25.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:38:56,        1023,           0,           0,           1,       25.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:39:01,        1023,           0,           0,           1,       25.70,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:39:06,        1023,           0,           0,           1,       25.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:41:06,        1023,           0,           0,           1,       25.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:41:11,        1023,           0,           0,           1,       25.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:41:16,        1023,           0,           0,           1,       25.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:43:16,        1023,           0,           0,           1,       25.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:43:26,        1023,           0,           0,           1,       25.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:45:26,        1023,           0,           0,           1,       25.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:45:31,        1023,           0,           0,           1,       25.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:47:36,        1023,           0,           0,           1,       25.50,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:47:41,        1023,           0,           0,           1,       25.50,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:47:46,        1023,           0,           0,           1,       25.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:49:46,        1023,           0,           0,           1,       25.50,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:49:51,        1023,           0,           0,           1,       25.50,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:49:56,        1023,           0,           0,           1,       25.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:51:56,        1023,           0,           0,           1,       25.50,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:52:06,        1023,           0,           0,           1,       25.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:54:11,        1023,           0,           0,           1,       25.50,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:54:16,        1023,           0,           0,           1,       25.50,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:56:21,        1023,           0,           0,           1,       25.40,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:56:26,        1023,           0,           0,           1,       25.50,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:58:26,        1023,           0,           0,           1,       25.70,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 15:58:36,        1023,           0,           0,           1,       25.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 16:00:36,        1023,           0,           0,           1,       25.80,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 16:00:41,        1023,           0,           0,           1,       25.80,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 16:02:46,        1023,           0,           0,           1,       25.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 16:02:51,        1023,           0,           0,           1,       25.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 16:02:56,        1023,           0,           0,           1,       25.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 16:04:56,        1023,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 16:07:06,        1023,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 16:07:11,        1023,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 16:09:16,        1023,           0,           0,           1,       25.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 16:09:21,        1023,           0,           0,           1,       25.70,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 16:15:16,           0,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 16:34:00,           0,           0,           0,           1,       24.70,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 16:38:24,           0,           0,           0,           1,          25,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 16:40:29,           0,           0,           0,           1,       25.70,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 16:40:34,           0,           0,           0,           1,       25.80,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 16:42:39,           0,           0,           0,           1,       25.70,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 16:42:44,           0,           0,           0,           1,       25.80,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 16:44:49,           0,           0,           0,           1,       25.80,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 16:44:54,           0,           0,           0,           1,       25.80,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 16:44:59,           0,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 16:47:04,           0,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 16:48:04,           0,           0,           0,           1,          26,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 16:48:34,           0,           0,           0,           1,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 16:49:25,           0,           0,           0,           1,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 16:49:31,           0,           0,           0,           1,       26.30,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 16:50:01,           0,           0,           0,           1,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 16:50:22,           0,           0,           0,           1,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:02:11,         347,           0,           0,           1,       25.50,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:02:26,         144,           0,           0,           1,       25.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:02:32,         110,           0,           0,           1,       25.60,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:02:41,          86,           0,           0,           1,       25.80,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:03:05,          65,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:03:20,          63,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:03:32,          62,           0,           0,           1,          26,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:03:44,          62,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:03:59,          62,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:04:17,          62,           0,           0,           1,          26,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:04:23,          62,           0,           0,           1,          26,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:04:32,          62,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:04:59,          62,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:05:05,          62,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:06:02,          61,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:06:29,          61,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:06:35,          61,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:06:59,          62,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:07:23,          61,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:07:32,          62,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:08:35,          62,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:08:38,          62,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:08:41,          61,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:08:44,          62,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:09:02,          62,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:09:17,          61,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:09:26,          62,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:09:32,          62,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:10:17,          61,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:10:47,          62,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:10:50,          62,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:10:53,          62,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:10:56,          62,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:11:02,          62,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:11:56,          62,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:12:59,          61,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:13:02,          62,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:13:05,          62,           0,           0,           1,       25.90,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:13:14,          62,           0,           0,           1,       26.10,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:13:59,          61,           0,           0,           1,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:14:14,          62,           0,           0,           1,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:14:29,          61,           0,           0,           1,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:14:35,          61,           0,           0,           1,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:14:44,          62,           0,           0,           1,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:14:53,          61,           0,           0,           1,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:15:11,          61,           0,           0,           1,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:15:17,          61,           0,           0,           1,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:15:44,          62,           0,           0,           1,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:15:53,          61,           0,           0,           1,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:16:05,          61,           0,           0,           1,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:16:14,          61,           0,           0,           1,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:16:23,          61,           0,           0,           1,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:16:53,          62,           0,           0,           1,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
2010-06-08 17:17:17,          61,           0,           0,           1,       26.20,       22.50,           0,           0,           0,           0,   uW/m^2*Sr,
