BZN2 
UTC,PMT5577DN,PD1DN,PMTGV,PMTS,TMP,PMT5577rad,PD1rad,rad_units,
2010-08-07 00:00:34,           0,        1023,           0,           0,       39.40,           0,           0,   uW/m^2*Sr,
2010-08-07 00:00:39,           0,        1023,           0,           0,       39.30,           0,           0,   uW/m^2*Sr,
2010-08-07 00:00:44,           0,        1023,           0,           0,       39.20,           0,           0,   uW/m^2*Sr,
2010-08-07 00:00:49,           0,        1023,           0,           0,       39.20,           0,           0,   uW/m^2*Sr,
2010-08-07 00:00:54,           0,        1023,           0,           0,       39.20,           0,           0,   uW/m^2*Sr,
2010-08-07 00:00:59,           0,        1023,           0,           0,       39.20,           0,           0,   uW/m^2*Sr,
2010-08-07 00:01:04,           0,        1023,           0,           0,       39.10,           0,           0,   uW/m^2*Sr,
2010-08-07 00:01:09,           0,        1023,           0,           0,       39.10,           0,           0,   uW/m^2*Sr,
2010-08-07 00:01:14,           0,        1023,           0,           0,       39.10,           0,           0,   uW/m^2*Sr,
2010-08-07 00:01:19,           0,        1023,           0,           0,       39.10,           0,           0,   uW/m^2*Sr,
2010-08-07 00:01:24,           0,        1023,           0,           0,       39.10,           0,           0,   uW/m^2*Sr,
2010-08-07 00:01:29,           0,        1023,           0,           0,       39.10,           0,           0,   uW/m^2*Sr,
2010-08-07 00:01:39,           0,        1023,           0,           0,       39.10,           0,           0,   uW/m^2*Sr,
2010-08-07 00:01:44,           0,        1023,           0,           0,       39.10,           0,           0,   uW/m^2*Sr,
2010-08-07 00:01:49,           0,        1023,           0,           0,       39.10,           0,           0,   uW/m^2*Sr,
2010-08-07 00:01:54,           0,        1023,           0,           0,       39.10,           0,           0,   uW/m^2*Sr,
2010-08-07 00:01:59,           0,        1023,           0,           0,       39.10,           0,           0,   uW/m^2*Sr,
2010-08-07 00:02:09,           0,        1023,           0,           0,       39.10,           0,           0,   uW/m^2*Sr,
2010-08-07 00:02:14,           0,        1023,           0,           0,       39.10,           0,           0,   uW/m^2*Sr,
2010-08-07 00:02:19,           0,        1023,           0,           0,       39.10,           0,           0,   uW/m^2*Sr,
2010-08-07 00:02:24,           0,        1023,           0,           0,       39.10,           0,           0,   uW/m^2*Sr,
2010-08-07 00:02:29,           0,        1023,           0,           0,          39,           0,           0,   uW/m^2*Sr,
2010-08-07 00:02:39,           0,        1023,           0,           0,       38.90,           0,           0,   uW/m^2*Sr,
2010-08-07 00:02:44,           0,        1023,           0,           0,       38.90,           0,           0,   uW/m^2*Sr,
2010-08-07 00:02:49,           0,        1023,           0,           0,       38.80,           0,           0,   uW/m^2*Sr,
2010-08-07 00:02:54,           0,        1023,           0,           0,       38.80,           0,           0,   uW/m^2*Sr,
2010-08-07 00:02:59,           0,        1023,           0,           0,       38.80,           0,           0,   uW/m^2*Sr,
2010-08-07 00:03:34,           0,        1023,           0,           0,       38.80,           0,           0,   uW/m^2*Sr,
2010-08-07 00:03:39,           0,        1023,           0,           0,       38.80,           0,           0,   uW/m^2*Sr,
2010-08-07 00:03:44,           0,        1023,           0,           0,       38.80,           0,           0,   uW/m^2*Sr,
2010-08-07 00:03:54,           0,        1023,           0,           0,       38.80,           0,           0,   uW/m^2*Sr,
2010-08-07 00:03:59,           0,        1023,           0,           0,       38.80,           0,           0,   uW/m^2*Sr,
2010-08-07 00:04:04,           0,        1023,           0,           0,       38.80,           0,           0,   uW/m^2*Sr,
2010-08-07 00:04:09,           0,        1023,           0,           0,       38.80,           0,           0,   uW/m^2*Sr,
2010-08-07 00:04:14,           0,        1023,           0,           0,       38.80,           0,           0,   uW/m^2*Sr,
2010-08-07 00:04:19,           0,        1023,           0,           0,       38.70,           0,           0,   uW/m^2*Sr,
2010-08-07 00:04:24,           0,        1023,           0,           0,       38.70,           0,           0,   uW/m^2*Sr,
2010-08-07 00:04:29,           0,        1023,           0,           0,       38.60,           0,           0,   uW/m^2*Sr,
2010-08-07 00:04:39,           0,        1023,           0,           0,       38.50,           0,           0,   uW/m^2*Sr,
2010-08-07 00:04:44,           0,        1023,           0,           0,       38.50,           0,           0,   uW/m^2*Sr,
2010-08-07 00:04:49,           0,        1023,           0,           0,       38.50,           0,           0,   uW/m^2*Sr,
2010-08-07 00:04:54,           0,        1023,           0,           0,       38.50,           0,           0,   uW/m^2*Sr,
2010-08-07 00:04:59,           0,        1023,           0,           0,       38.50,           0,           0,   uW/m^2*Sr,
2010-08-07 00:05:09,           0,        1023,           0,           0,       38.50,           0,           0,   uW/m^2*Sr,
2010-08-07 00:05:14,           0,        1023,           0,           0,       38.50,           0,           0,   uW/m^2*Sr,
2010-08-07 00:05:19,           0,        1023,           0,           0,       38.50,           0,           0,   uW/m^2*Sr,
2010-08-07 00:05:24,           0,        1023,           0,           0,       38.50,           0,           0,   uW/m^2*Sr,
2010-08-07 00:05:29,           0,        1023,           0,           0,       38.50,           0,           0,   uW/m^2*Sr,
2010-08-07 00:05:39,           0,        1023,           0,           0,       38.50,           0,           0,   uW/m^2*Sr,
2010-08-07 00:05:44,           0,        1023,           0,           0,       38.50,           0,           0,   uW/m^2*Sr,
2010-08-07 00:05:49,           0,        1023,           0,           0,       38.50,           0,           0,   uW/m^2*Sr,
2010-08-07 00:05:54,           0,        1023,           0,           0,       38.40,           0,           0,   uW/m^2*Sr,
2010-08-07 00:05:59,           0,        1023,           0,           0,       38.40,           0,           0,   uW/m^2*Sr,
2010-08-07 00:06:39,           0,        1023,           0,           0,       38.20,           0,           0,   uW/m^2*Sr,
2010-08-07 00:06:44,           0,        1023,           0,           0,       38.20,           0,           0,   uW/m^2*Sr,
2010-08-07 00:06:49,           0,        1023,           0,           0,       38.20,           0,           0,   uW/m^2*Sr,
2010-08-07 00:06:54,           0,        1023,           0,           0,       38.20,           0,           0,   uW/m^2*Sr,
2010-08-07 00:06:59,           0,        1023,           0,           0,       38.10,           0,           0,   uW/m^2*Sr,
2010-08-07 00:07:09,           0,        1023,           0,           0,       38.20,           0,           0,   uW/m^2*Sr,
2010-08-07 00:07:14,           0,        1023,           0,           0,       38.20,           0,           0,   uW/m^2*Sr,
2010-08-07 00:07:19,           0,        1023,           0,           0,       38.20,           0,           0,   uW/m^2*Sr,
2010-08-07 00:07:24,           0,        1023,           0,           0,       38.20,           0,           0,   uW/m^2*Sr,
2010-08-07 00:07:29,           0,        1023,           0,           0,       38.20,           0,           0,   uW/m^2*Sr,
2010-08-07 00:07:39,           0,        1023,           0,           0,          38,           0,           0,   uW/m^2*Sr,
2010-08-07 00:07:44,           0,        1023,           0,           0,          38,           0,           0,   uW/m^2*Sr,
2010-08-07 00:07:49,           0,        1023,           0,           0,       37.90,           0,           0,   uW/m^2*Sr,
2010-08-07 00:07:54,           0,        1023,           0,           0,       37.90,           0,           0,   uW/m^2*Sr,
2010-08-07 00:07:59,           0,        1023,           0,           0,       37.90,           0,           0,   uW/m^2*Sr,
2010-08-07 00:08:09,           0,        1023,           0,           0,       37.80,           0,           0,   uW/m^2*Sr,
2010-08-07 00:08:14,           0,        1023,           0,           0,       37.80,           0,           0,   uW/m^2*Sr,
2010-08-07 00:08:19,           0,        1023,           0,           0,       37.80,           0,           0,   uW/m^2*Sr,
2010-08-07 00:08:24,           0,        1023,           0,           0,       37.80,           0,           0,   uW/m^2*Sr,
2010-08-07 00:08:29,           0,        1023,           0,           0,       37.80,           0,           0,   uW/m^2*Sr,
2010-08-07 00:09:04,           0,        1023,           0,           0,       37.80,           0,           0,   uW/m^2*Sr,
2010-08-07 00:09:09,           0,        1023,           0,           0,       37.80,           0,           0,   uW/m^2*Sr,
2010-08-07 00:09:14,           0,        1023,           0,           0,       37.80,           0,           0,   uW/m^2*Sr,
