BZN2 
UTC,PMT5577DN,PD1DN,PMTGV,PMTS,TMP,PMT5577rad,PD1rad,rad_units,
2010-09-15 02:32:45,           3,          79,        0.73,           1,       23.60,           0,           0,   uW/m^2*Sr,
2010-09-15 02:32:50,           2,          71,        0.73,           1,       23.60,           0,           0,   uW/m^2*Sr,
2010-09-15 02:32:55,           2,          65,        0.73,           1,       23.70,           0,           0,   uW/m^2*Sr,
2010-09-15 02:33:00,           2,          66,        0.73,           1,       23.70,           0,           0,   uW/m^2*Sr,
2010-09-15 02:33:05,           2,          72,        0.73,           1,       23.90,           0,           0,   uW/m^2*Sr,
2010-09-15 02:33:10,           2,          76,        0.73,           1,          24,           0,           0,   uW/m^2*Sr,
2010-09-15 02:33:15,           2,          76,        0.73,           1,          24,           0,           0,   uW/m^2*Sr,
2010-09-15 02:33:20,          14,          77,        0.73,           1,          24,           0,           0,   uW/m^2*Sr,
2010-09-15 02:33:25,          48,          79,        0.73,           1,          24,           0,           0,   uW/m^2*Sr,
2010-09-15 02:33:30,          44,          67,        0.73,           1,          24,           0,           0,   uW/m^2*Sr,
2010-09-15 02:33:35,          62,          72,        0.73,           1,          24,           0,           0,   uW/m^2*Sr,
2010-09-15 02:33:40,          45,          67,        0.73,           1,       24.20,           0,           0,   uW/m^2*Sr,
2010-09-15 02:33:45,          28,          71,        0.73,           1,       24.30,           0,           0,   uW/m^2*Sr,
2010-09-15 02:33:50,          27,          76,        0.74,           1,       24.30,           0,           0,   uW/m^2*Sr,
2010-09-15 02:33:55,          26,          71,        0.73,           1,       24.30,           0,           0,   uW/m^2*Sr,
2010-09-15 02:34:00,           2,          71,        0.73,           1,       24.30,           0,           0,   uW/m^2*Sr,
2010-09-15 02:34:05,           1,          65,        0.73,           1,       24.30,           0,           0,   uW/m^2*Sr,
2010-09-15 02:34:10,           1,          61,        0.73,           1,       24.40,           0,           0,   uW/m^2*Sr,
2010-09-15 02:34:15,           1,          63,        0.73,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-09-15 02:34:20,           2,          73,        0.73,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-09-15 02:34:25,          31,          68,        0.73,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-09-15 02:34:30,           8,          58,        0.73,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-09-15 02:34:35,           1,          70,        0.73,           1,       24.60,           0,           0,   uW/m^2*Sr,
2010-09-15 02:34:40,           1,          69,        0.73,           1,       24.90,           0,           0,   uW/m^2*Sr,
2010-09-15 02:34:45,           1,          68,        0.73,           1,       24.90,           0,           0,   uW/m^2*Sr,
2010-09-15 02:34:50,           1,          75,        0.73,           1,       24.90,           0,           0,   uW/m^2*Sr,
2010-09-15 02:34:55,           6,          87,        0.73,           1,       24.90,           0,           0,   uW/m^2*Sr,
2010-09-15 02:35:00,          38,          85,        0.73,           1,       24.90,           0,           0,   uW/m^2*Sr,
2010-09-15 02:56:31,           0,          89,        0.04,           1,       25.60,           0,           0,   uW/m^2*Sr,
2010-09-15 02:56:36,           0,          89,        0.05,           1,       25.60,           0,           0,   uW/m^2*Sr,
2010-09-15 02:56:41,           0,          89,        0.06,           1,       25.60,           0,           0,   uW/m^2*Sr,
2010-09-15 02:56:46,           0,          87,        0.06,           1,       25.60,           0,           0,   uW/m^2*Sr,
2010-09-15 02:56:51,           0,          89,        0.02,           1,       25.60,           0,           0,   uW/m^2*Sr,
2010-09-15 02:56:56,           0,          89,        0.03,           1,       25.70,           0,           0,   uW/m^2*Sr,
2010-09-15 02:57:01,           0,          91,        0.01,           1,       25.80,           0,           0,   uW/m^2*Sr,
2010-09-15 02:57:06,           0,         119,           0,           1,       25.80,           0,           0,   uW/m^2*Sr,
2010-09-15 02:57:11,           0,         232,        0.01,           1,       25.80,           0,           0,   uW/m^2*Sr,
2010-09-15 02:57:16,           0,         630,           0,           0,       25.90,           0,           0,   uW/m^2*Sr,
2010-09-15 02:57:21,           0,        1023,           0,           0,       25.90,           0,           0,   uW/m^2*Sr,
2010-09-15 02:57:26,           0,        1023,           0,           0,       25.90,           0,           0,   uW/m^2*Sr,
2010-09-15 02:57:31,           0,         152,        0.04,           1,       25.90,           0,           0,   uW/m^2*Sr,
2010-09-15 02:57:36,           0,         114,        0.05,           1,       25.90,           0,           0,   uW/m^2*Sr,
2010-09-15 02:57:41,           0,         107,        0.03,           1,       25.90,           0,           0,   uW/m^2*Sr,
2010-09-15 02:57:46,           0,         104,        0.12,           1,          26,           0,           0,   uW/m^2*Sr,
