FBC1 
UTC,PMT5577DN,PD1DN,PD2DN,PMTS,TMP,SETTMP,TEPWR,TEDIR,PMT5577rad,PD1rad,rad_units,
2010-03-09 00:51:11,          40,           0,        1023,           1,        -272,       22.50,           0,           0,       24.06,           0,   uW/m^2*Sr,
2010-03-09 01:04:26,          40,           0,        1023,           1,        -272,       22.50,           0,           0,       24.06,           0,   uW/m^2*Sr,
2010-03-09 01:07:36,          40,           0,        1023,           1,        -272,       22.50,           0,           0,       24.06,           0,   uW/m^2*Sr,
2010-03-09 01:08:16,          36,           0,        1023,           1,        -272,       22.50,           0,           0,       21.53,           0,   uW/m^2*Sr,
2010-03-09 01:08:37,          36,           0,        1023,           1,        -272,       22.50,           0,           0,       21.53,           0,   uW/m^2*Sr,
2010-03-09 16:01:25,          40,           0,        1023,           1,        -272,       22.50,           0,           0,       24.06,           0,   uW/m^2*Sr,
2010-03-09 16:01:34,          36,           0,        1023,           1,        -272,       22.50,           0,           0,       21.53,           0,   uW/m^2*Sr,
2010-03-09 16:01:44,          36,           0,        1023,           1,        -272,       22.50,           0,           0,       21.53,           0,   uW/m^2*Sr,
2010-03-09 16:01:51,          36,           0,        1023,           1,        -272,       22.50,           0,           0,       21.53,           0,   uW/m^2*Sr,
2010-03-09 16:02:01,          36,           0,        1023,           1,        -272,       22.50,           0,           0,       21.53,           0,   uW/m^2*Sr,
2010-03-09 16:02:15,          40,           0,        1023,           1,        -272,       22.50,           0,           0,       24.06,           0,   uW/m^2*Sr,
2010-03-09 16:02:34,          44,           0,        1023,           1,        -272,       22.50,           0,           0,       26.60,           0,   uW/m^2*Sr,
2010-03-09 16:02:38,          56,           0,        1023,           1,        -272,       22.50,           0,           0,       34.19,           0,   uW/m^2*Sr,
2010-03-09 16:02:47,          60,           0,        1023,           1,        -272,       22.50,           0,           0,       36.73,           0,   uW/m^2*Sr,
2010-03-09 16:02:55,          56,           0,        1023,           1,        -272,       22.50,           0,           0,       34.19,           0,   uW/m^2*Sr,
