FPC1 
UTC,PMT5577DN,PD1DN,PMTGV,PMTS,TMP,PMT5577rad,PD1rad,rad_units,
2010-09-17 18:28:07,        1023,           0,        0.73,           1,       25.50,      646.51,           0,   uW/m^2*Sr,
2010-09-17 18:28:12,        1023,          18,        0.73,           1,       25.60,      646.51,           0,   uW/m^2*Sr,
2010-09-17 18:28:17,        1023,           0,        0.73,           1,       25.80,      646.51,           0,   uW/m^2*Sr,
2010-09-17 18:28:22,        1023,           0,        0.73,           1,       25.90,      646.51,           0,   uW/m^2*Sr,
2010-09-17 18:28:27,        1023,           0,        0.73,           1,          26,      646.51,           0,   uW/m^2*Sr,
2010-09-17 18:28:32,        1023,         500,        0.73,           1,       26.20,      646.51,           0,   uW/m^2*Sr,
2010-09-17 18:28:37,        1023,           0,        0.73,           1,       26.20,      646.51,           0,   uW/m^2*Sr,
2010-09-17 18:28:47,        1023,           0,        0.73,           1,       26.40,      646.51,           0,   uW/m^2*Sr,
2010-09-17 18:28:52,        1023,           0,        0.73,           1,       26.50,      646.51,           0,   uW/m^2*Sr,
2010-09-17 18:28:57,        1023,           0,        0.73,           1,       26.60,      646.51,           0,   uW/m^2*Sr,
2010-09-17 18:29:02,        1023,           0,        0.73,           1,       26.80,      646.51,           0,   uW/m^2*Sr,
2010-09-17 18:30:25,          40,        1023,           0,           0,       27.80,       24.06,           0,   uW/m^2*Sr,
2010-09-17 18:30:30,           0,        1023,           0,           0,       27.80,       -1.27,           0,   uW/m^2*Sr,
2010-09-17 18:30:35,           0,        1023,           0,           0,       27.80,       -1.27,           0,   uW/m^2*Sr,
2010-09-17 18:30:40,        1023,           0,        0.73,           1,       27.80,      646.51,           0,   uW/m^2*Sr,
2010-09-17 18:30:45,        1023,           0,        0.73,           1,       27.80,      646.51,           0,   uW/m^2*Sr,
2010-09-17 18:30:50,        1023,           0,        0.73,           1,       27.80,      646.51,           0,   uW/m^2*Sr,
2010-09-17 18:30:55,        1023,           0,        0.73,           1,       27.90,      646.51,           0,   uW/m^2*Sr,
2010-09-17 18:31:00,        1023,           0,        0.73,           1,       27.90,      646.51,           0,   uW/m^2*Sr,
2010-09-17 18:31:10,        1023,           0,        0.73,           1,       28.10,      646.51,           0,   uW/m^2*Sr,
2010-09-17 18:31:15,        1023,           0,        0.73,           1,       28.10,      646.51,           0,   uW/m^2*Sr,
2010-09-17 18:31:20,        1023,           0,        0.73,           1,       28.30,      646.51,           0,   uW/m^2*Sr,
2010-09-17 18:31:25,        1023,           0,        0.73,           1,       28.20,      646.51,           0,   uW/m^2*Sr,
