LBH1 
UTC,PMT5577DN,PD1DN,PMTGV,PMTS,TMP,PMT5577rad,PD1rad,rad_units,
2010-09-17 20:59:55,           0,        1023,           0,           0,       24.90,       -1.27,           0,   uW/m^2*Sr,
2010-09-17 21:00:00,           0,        1023,           0,           0,          25,       -1.27,           0,   uW/m^2*Sr,
2010-09-17 21:00:05,           0,        1023,           0,           0,          25,       -1.27,           0,   uW/m^2*Sr,
2010-09-17 21:00:10,           0,        1023,           0,           0,       25.10,       -1.27,           0,   uW/m^2*Sr,
2010-09-17 21:00:15,           0,        1023,           0,           0,       25.30,       -1.27,           0,   uW/m^2*Sr,
2010-09-17 21:00:20,           0,        1023,           0,           0,       25.30,       -1.27,           0,   uW/m^2*Sr,
2010-09-17 21:00:25,           0,        1023,           0,           0,       25.30,       -1.27,           0,   uW/m^2*Sr,
2010-09-17 21:00:30,           0,        1023,           0,           0,       25.30,       -1.27,           0,   uW/m^2*Sr,
2010-09-17 21:00:35,           0,        1023,           0,           0,       25.50,       -1.27,           0,   uW/m^2*Sr,
2010-09-17 21:00:40,           0,        1023,           0,           0,       25.60,       -1.27,           0,   uW/m^2*Sr,
