SCC1 
UTC,PMT5577DN,PD1DN,PD2DN,PMTS,TMP,SETTMP,TEPWR,TEDIR,PMT5577rad,PD1rad,rad_units,
2010-03-09 00:51:54,          40,           1,        1023,           1,        -272,       22.50,           0,           0,       24.06,           0,   uW/m^2*Sr,
2010-03-09 01:07:56,          40,           1,        1023,           1,        -272,       22.50,           0,           0,       24.06,           0,   uW/m^2*Sr,
2010-03-09 01:08:14,          36,           1,        1023,           1,        -272,       22.50,           0,           0,       21.53,           0,   uW/m^2*Sr,
2010-03-09 16:01:26,          40,           1,        1023,           1,        -272,       22.50,           0,           0,       24.06,           0,   uW/m^2*Sr,
2010-03-09 16:01:35,          36,           1,        1023,           1,        -272,       22.50,           0,           0,       21.53,           0,   uW/m^2*Sr,
2010-03-09 16:01:47,          36,           1,        1023,           1,        -272,       22.50,           0,           0,       21.53,           0,   uW/m^2*Sr,
2010-03-09 16:01:53,          36,           1,        1023,           1,        -272,       22.50,           0,           0,       21.53,           0,   uW/m^2*Sr,
2010-03-09 16:02:00,          36,           1,        1023,           1,        -272,       22.50,           0,           0,       21.53,           0,   uW/m^2*Sr,
2010-03-09 16:02:14,          40,           1,        1023,           1,        -272,       22.50,           0,           0,       24.06,           0,   uW/m^2*Sr,
2010-03-09 16:02:18,          44,           1,        1023,           1,        -272,       22.50,           0,           0,       26.60,           0,   uW/m^2*Sr,
2010-03-09 16:02:42,          56,           1,        1023,           1,        -272,       22.50,           0,           0,       34.19,           0,   uW/m^2*Sr,
2010-03-09 16:02:52,          60,           1,        1023,           1,        -272,       22.50,           0,           0,       36.73,           0,   uW/m^2*Sr,
2010-03-09 16:02:54,          56,           1,        1023,           1,        -272,       22.50,           0,           0,       34.19,           0,   uW/m^2*Sr,
2010-03-09 16:03:03,          52,           1,        1023,           1,        -272,       22.50,           0,           0,       31.66,           0,   uW/m^2*Sr,
2010-03-09 16:03:18,          52,           1,        1023,           1,        -272,       22.50,           0,           0,       31.66,           0,   uW/m^2*Sr,
2010-03-09 16:03:20,          52,           1,        1023,           1,        -272,       22.50,           0,           0,       31.66,           0,   uW/m^2*Sr,
2010-03-09 16:03:37,          52,           1,        1023,           1,        -272,       22.50,           0,           0,       31.66,           0,   uW/m^2*Sr,
2010-03-09 16:03:42,          52,           1,        1023,           1,        -272,       22.50,           0,           0,       31.66,           0,   uW/m^2*Sr,
2010-03-09 16:03:53,          52,           1,        1023,           1,        -272,       22.50,           0,           0,       31.66,           0,   uW/m^2*Sr,
2010-03-09 16:04:01,          52,           1,        1023,           1,        -272,       22.50,           0,           0,       31.66,           0,   uW/m^2*Sr,
