SCC1 
UTC,PMT5577DN,PD1DN,PMTGV,PMTS,TMP,PMT5577rad,PD1rad,rad_units,
2010-09-16 00:06:06,           0,         950,           0,           0,       30.40,       -1.27,           0,   uW/m^2*Sr,
2010-09-16 00:06:11,        1023,         909,        0.74,           1,       30.40,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:06:16,        1023,         902,        0.74,           1,       30.40,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:06:21,        1023,         893,        0.74,           1,       30.40,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:06:26,          99,        1023,           0,           0,       30.60,       61.42,           0,   uW/m^2*Sr,
2010-09-16 00:06:31,           1,        1023,           0,           0,       30.70,       -0.63,           0,   uW/m^2*Sr,
2010-09-16 00:06:36,           0,        1023,           0,           0,       30.70,       -1.27,           0,   uW/m^2*Sr,
2010-09-16 00:06:41,           0,        1023,           0,           0,       30.70,       -1.27,           0,   uW/m^2*Sr,
2010-09-16 00:50:11,        1023,         342,        0.74,           1,       25.40,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:50:16,        1023,         336,        0.74,           1,       25.60,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:50:21,        1023,         336,        0.74,           1,       25.60,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:50:26,        1023,         332,        0.74,           1,       25.60,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:50:31,        1023,         331,        0.74,           1,       25.60,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:50:36,        1023,         328,        0.74,           1,       25.80,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:50:41,        1023,         322,        0.74,           1,       25.90,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:50:46,        1023,         320,        0.74,           1,       25.90,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:50:51,        1023,         322,        0.74,           1,       25.90,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:50:56,        1023,         320,        0.74,           1,       26.10,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:51:01,        1023,         318,        0.74,           1,       26.20,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:51:06,        1023,         325,        0.74,           1,       26.20,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:51:11,        1023,         322,        0.74,           1,       26.30,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:51:16,        1023,         318,        0.74,           1,       26.50,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:51:21,        1023,         311,        0.74,           1,       26.60,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:51:26,        1023,         309,        0.74,           1,       26.60,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:51:31,        1023,         303,        0.74,           1,       26.60,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:51:36,        1023,         302,        0.74,           1,       26.80,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:51:41,        1023,         296,        0.74,           1,       26.90,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:51:46,        1023,         300,        0.74,           1,          27,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:51:51,        1023,         302,        0.74,           1,       26.90,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:51:56,        1023,         307,        0.74,           1,       27.20,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:52:01,        1023,         312,        0.74,           1,       27.20,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:52:06,        1023,         314,        0.74,           1,       27.20,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:52:11,        1023,         313,        0.74,           1,       27.20,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:52:16,        1023,         308,        0.74,           1,       27.40,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:52:20,        1023,         301,        0.74,           1,       27.50,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:52:25,        1023,         291,        0.74,           1,       27.50,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:52:30,        1023,         289,        0.74,           1,       27.60,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:52:35,        1023,         288,        0.74,           1,       27.80,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:52:40,        1023,         293,        0.74,           1,       27.80,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:52:45,        1023,         294,        0.74,           1,       27.80,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:52:50,        1023,         297,        0.74,           1,       27.90,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:52:55,        1023,         282,        0.74,           1,       28.10,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:53:00,        1023,         302,        0.74,           1,       28.20,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:53:05,        1023,         291,        0.74,           1,       28.20,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:53:10,        1023,         287,        0.74,           1,       28.20,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:53:15,        1023,         232,        0.74,           1,       28.40,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:53:20,        1023,         281,        0.74,           1,       28.50,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:53:25,        1023,         262,        0.74,           1,       28.50,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:53:30,        1023,         262,        0.74,           1,       28.50,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:53:35,        1023,         194,        0.74,           1,       28.60,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:53:40,        1023,         185,        0.74,           1,       28.80,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:53:45,        1023,         183,        0.74,           1,       28.80,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:53:50,        1023,         182,        0.74,           1,       28.80,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:53:55,        1023,         182,        0.74,           1,       28.80,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:54:00,        1023,         190,        0.74,           1,       28.90,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:54:05,        1023,         195,        0.74,           1,          29,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:54:10,        1023,         194,        0.74,           1,       29.10,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:54:15,        1023,         196,        0.74,           1,       29.10,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:54:20,        1023,         197,        0.74,           1,       29.10,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:54:25,        1023,         199,        0.74,           1,       29.10,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:54:30,        1023,         198,        0.74,           1,       29.10,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:54:35,        1023,         199,        0.74,           1,       29.40,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:54:40,        1023,         200,        0.74,           1,       29.50,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:54:45,        1023,         194,        0.74,           1,       29.50,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:54:50,        1023,         187,        0.74,           1,       29.50,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:54:55,        1023,         183,        0.74,           1,       29.50,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:55:00,        1023,         179,        0.74,           1,       29.50,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:55:05,        1023,         185,        0.74,           1,       29.70,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:55:10,        1023,         191,        0.74,           1,       29.80,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:55:15,        1023,         194,        0.74,           1,       29.80,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:55:20,        1023,         199,        0.74,           1,       29.80,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:55:25,        1023,         195,        0.74,           1,       29.80,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:55:30,        1023,         196,        0.74,           1,       29.80,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:55:35,        1023,         191,        0.74,           1,       30.10,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:55:40,        1023,         187,        0.74,           1,       30.10,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:55:45,        1023,         180,        0.74,           1,       30.10,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:55:50,        1023,         177,        0.74,           1,       30.10,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:55:55,        1023,         177,        0.74,           1,       30.10,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:56:00,        1023,         254,        0.74,           1,       30.10,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:56:05,        1023,         277,        0.74,           1,       30.10,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:56:10,        1023,         279,        0.74,           1,       30.30,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:56:15,        1023,         279,        0.74,           1,       30.40,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:56:20,        1023,         242,        0.74,           1,       30.40,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:56:25,        1023,         252,        0.74,           1,       30.40,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:56:30,        1023,         242,        0.74,           1,       30.40,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:56:35,        1023,         227,        0.74,           1,       30.50,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:56:40,        1023,         234,        0.74,           1,       30.70,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:56:45,        1023,         252,        0.74,           1,       30.70,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:56:50,        1023,         235,        0.74,           1,       30.70,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:56:55,        1023,         152,        0.74,           1,       30.70,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:57:00,        1023,         146,        0.74,           1,       30.70,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:57:05,        1023,         145,        0.74,           1,       30.70,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:57:10,        1023,         222,        0.74,           1,       30.70,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:57:15,        1023,         183,        0.74,           1,       30.70,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:57:20,        1023,         174,        0.74,           1,       30.90,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:57:25,        1023,         179,        0.74,           1,       31.10,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:57:30,        1023,         186,        0.74,           1,       31.10,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:57:35,        1023,         186,        0.74,           1,       31.10,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:57:40,        1023,         178,        0.74,           1,       31.10,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:57:45,        1023,         181,        0.74,           1,       31.10,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:57:50,        1023,         179,        0.74,           1,       31.20,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:57:55,        1023,         187,        0.74,           1,       31.30,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:58:00,        1023,         185,        0.74,           1,       31.40,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:58:05,        1023,         183,        0.74,           1,       31.40,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:58:10,        1023,         186,        0.74,           1,       31.40,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:58:15,        1023,         190,        0.74,           1,       31.40,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:58:20,        1023,         195,        0.74,           1,       31.40,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:58:25,        1023,         182,        0.74,           1,       31.40,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:58:30,        1023,         190,        0.74,           1,       31.40,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:58:35,        1023,         191,        0.74,           1,       31.50,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:58:40,        1023,         185,        0.74,           1,       31.70,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:58:45,        1023,         182,        0.74,           1,       31.70,      646.51,           0,   uW/m^2*Sr,
2010-09-16 00:58:50,        1023,         182,        0.74,           1,       31.70,      646.51,           0,   uW/m^2*Sr,
