SKC1 
UTC,PMT5577DN,PD1DN,PD2DN,PMTS,TMP,SETTMP,TEPWR,TEDIR,PMT5577rad,PD1rad,rad_units,
2010-03-09 00:46:35,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 00:51:51,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 01:07:44,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 01:08:24,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:01:31,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:01:38,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:01:41,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:01:56,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:02:06,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:02:09,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:02:19,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:02:35,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:02:46,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:03:00,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:03:09,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:03:11,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:03:23,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:03:29,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:03:46,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:03:48,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:03:59,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:04:12,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:04:21,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:04:30,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:04:39,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:04:48,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:04:56,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:05:01,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:05:11,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:05:24,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:05:34,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:05:41,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:05:50,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:05:58,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:06:02,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:06:16,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:06:21,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:06:34,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:06:45,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:06:55,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:07:00,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:07:08,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:07:19,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:07:25,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:07:35,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:07:48,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:07:57,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:08:08,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:08:12,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:08:17,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:08:32,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:08:35,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:08:51,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
2010-03-09 16:09:02,           0,           0,        1023,           1,        -272,       22.50,           0,           0,       -1.27,           0,   uW/m^2*Sr,
